cutoff_profile,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
t_minus_1_1800_hkt,B6_month_climatology_diagnostic,diagnostic,5050,0.089744055032139,1.6144349605390476,0.06014630490429881,0.89744055032139,0.053847594805452544,0.1575240336267923,1.4414951646649872
t_minus_1_1800_hkt,B0_climatology,baseline,5050,0.19480716802148831,2.1730564506804764,0.07661942009501543,1.948071680214883,0.0205230216594377,0.0205230216594377,2.0729972144667443
t_minus_1_2100_hkt,B5_kernel_analog_pmf,analog_pmf,5088,0.04404822329547437,1.1417379570246202,0.048167341524173526,0.4404822329547437,0.022376112572120504,0.09000473634303074,1.0477492606284862
t_minus_1_2100_hkt,S1_conservative_simplex_stack,stack,5088,0.04424417228642591,1.0897498575738152,0.048272321701109365,0.4424417228642591,0.011691235073430839,0.0552621431154251,1.085560551513538
t_minus_1_2100_hkt,H1_b4_challenger_linear_pool,hybrid_pool,5088,0.0442624752838095,1.0892151113445738,0.048266157113043835,0.44262475283809505,0.011532712306723182,0.08033021755211855,1.0941424186300008
t_minus_1_2100_hkt,T1_time_decay_b4,time_decay_residual_pmf,5088,0.044296964493585674,1.0898748794302018,0.048381851935902664,0.4429696449358567,0.013391224637833002,0.118933806069975,1.0901526149283918
t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,calibration,5088,0.044300526995011184,1.0944101254968832,0.048337858524668834,0.44300526995011186,0.015359247036176683,0.07262501971433993,1.0680063980282224
t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,residual_pmf,5088,0.04430052699501119,1.0944101254968828,0.048337858524668834,0.44300526995011186,0.015359247036176658,0.07262501971433993,1.0680063980282215
t_minus_1_2100_hkt,K0_B4_identity,calibration,5088,0.04430052699501119,1.0944101254968828,0.048337858524668834,0.44300526995011186,0.015359247036176658,0.07262501971433993,1.0680063980282215
t_minus_1_2100_hkt,K1_B4_power_calibrated,calibration,5088,0.04430874003152981,1.0935894744187566,0.04831943378860831,0.4430874003152981,0.0100659558713581,0.05894355349497066,1.0877985431383654
t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,residual_pmf,5088,0.04440361303888953,1.0962962880615692,0.04839217757670854,0.4440361303888952,0.013711443510105682,0.34555594403118595,1.0726213070300272
t_minus_1_2100_hkt,E2_student_t_emos,emos,5088,0.044422926102795635,1.1074087373223807,0.04858256272935027,0.4442292610279563,0.026053968392843893,0.6537601872317137,1.0974007431096096
t_minus_1_2100_hkt,P1_normal_mos,mos,5088,0.04451814111637688,1.0980438925608036,0.04863787850910256,0.44518141116376886,0.02973563352780375,0.25733200523302807,1.1189878514494296
t_minus_1_2100_hkt,B2_month_residual_pmf,residual_pmf,5088,0.044538980554435496,1.0980405958217183,0.04846647703364933,0.4453898055443549,0.017855562877151843,0.08854163063078929,1.0962084913776247
t_minus_1_2100_hkt,B1_global_residual_pmf,residual_pmf,5088,0.044555369913799284,1.0993756371963,0.0486001554848249,0.4455536991379929,0.02291164541929789,0.10472001035232564,1.1082504777776347
t_minus_1_2100_hkt,P2_student_t_mos,mos,5088,0.04461788449180064,1.104705440900096,0.04869677612485319,0.4461788449180063,0.030302075074748917,0.1281913586670922,1.1685942286623794
t_minus_1_2100_hkt,E1_normal_emos,emos,5088,0.045166307760751284,1.1577869101821658,0.04925310103500407,0.45166307760751284,0.05529437320703101,0.668484305968406,0.8849472510100461
t_minus_1_2100_hkt,C1_multinomial_ridge,direct_classifier,5088,0.04530158777413067,1.110114657698062,0.04901715786004212,0.45301587774130675,0.014557321932820003,0.07439487621787971,1.1300238942509906
t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,direct_classifier,5088,0.04555043843592794,1.117158182594997,0.04906888043432621,0.45550438435927937,0.02140283726633239,0.0785975549858654,1.1592244482739424
t_minus_1_2100_hkt,G1_gamlss_tree_location_scale,gamlss_tree,5088,0.04579075843878814,1.2253377686382576,0.05005648632265904,0.45790758438788143,0.07679469535398642,0.15875949566739572,0.8066762661592884
t_minus_1_2100_hkt,E3_two_piece_normal_emos,emos,5088,0.046720214360245975,1.3399571655706402,0.05130349888164159,0.46720214360245976,0.10356816684943455,0.6117746972134911,0.7422585924039679
t_minus_1_2100_hkt,Q2_threshold_cdf_gb,threshold_cdf,5088,0.04976245907210836,1.2246747040553894,0.049532973496502125,0.49762459072108345,0.03506394947068299,0.107971053646984,1.4239618421078775
t_minus_1_2100_hkt,Q1_quantile_cdf_gb,quantile_cdf,5088,0.06874383257942436,1.3639175253732576,0.05281390849657982,0.6874383257942436,0.11747650263334955,0.20522520065208116,1.7167421252670623
t_minus_1_2100_hkt,B6_month_climatology_diagnostic,diagnostic,5088,0.08970610695818913,1.613746956085074,0.060099961892059545,0.8970610695818914,0.05385623945327682,0.20522418438344453,1.4398462679747384
t_minus_1_2100_hkt,B0_climatology,baseline,5088,0.19501392184274596,2.1723387255373923,0.07660469821951328,1.9501392184274593,0.021741690384151247,0.021741690384151247,2.070814212671152
t_minus_1_2359_hkt,B5_kernel_analog_pmf,analog_pmf,5629,0.041543339795461535,1.0738538994865032,0.04591962814906383,0.4154333979546154,0.015777165968795227,0.09125495121186011,0.9988708603168023
t_minus_1_2359_hkt,S1_conservative_simplex_stack,stack,5629,0.04173146955858149,1.0358267883460233,0.04600881469393839,0.41731469558581485,0.018182378913542616,0.05232354846894394,1.0303497336331386
t_minus_1_2359_hkt,H1_b4_challenger_linear_pool,hybrid_pool,5629,0.041739936170527916,1.0368891664240614,0.046007815139464316,0.4173993617052792,0.016042903923650036,0.06836951386734913,1.01754991115309
t_minus_1_2359_hkt,B4_hierarchical_residual_pmf,residual_pmf,5629,0.04178219446633426,1.0399171562204699,0.046062852263193135,0.41782194466334255,0.020420889066889453,0.045725525962781566,1.0137671934770298
t_minus_1_2359_hkt,K0_B4_identity,calibration,5629,0.04178219446633426,1.0399171562204699,0.046062852263193135,0.41782194466334255,0.020420889066889453,0.045725525962781566,1.0137671934770298
t_minus_1_2359_hkt,K2_B4_monotone_cdf_projected,calibration,5629,0.04178219446633426,1.0399171562204703,0.046062852263193135,0.4178219446633426,0.020420889066889474,0.04572552596278151,1.0137671934770307
t_minus_1_2359_hkt,K1_B4_power_calibrated,calibration,5629,0.04178530194450191,1.039116133728802,0.04604189470833377,0.4178530194450192,0.01613491110920965,0.06518041818554282,1.0338341179032795
t_minus_1_2359_hkt,T1_time_decay_b4,time_decay_residual_pmf,5629,0.04179309334290114,1.0357484823691938,0.04610790529923585,0.4179309334290114,0.008155193508197054,0.05906209189807454,1.0320593717388458
t_minus_1_2359_hkt,B3_forecast_level_residual_pmf,residual_pmf,5629,0.04190471470951847,1.0419953974639924,0.046141367531975216,0.4190471470951847,0.012460317687325527,0.12738332920816858,1.0200358555042301
t_minus_1_2359_hkt,E2_student_t_emos,emos,5629,0.04195661053770147,1.0523638019024322,0.046334472542146274,0.4195661053770148,0.024664927953506523,0.2988875409325,1.0336338810308048
t_minus_1_2359_hkt,B2_month_residual_pmf,residual_pmf,5629,0.04197177151410319,1.0437377288392717,0.046186438824501914,0.4197177151410318,0.014151875857871515,0.1331792085366229,1.0402315290737556
t_minus_1_2359_hkt,B1_global_residual_pmf,residual_pmf,5629,0.04200119065051674,1.0447485214589585,0.046303248586279384,0.4200119065051674,0.017834425145647127,0.1011242573817529,1.0467355996631231
t_minus_1_2359_hkt,P1_normal_mos,mos,5629,0.04202975523753755,1.044600455423422,0.046397242424613544,0.4202975523753755,0.024513517207394753,0.12292427914572968,1.0565977152190444
t_minus_1_2359_hkt,P2_student_t_mos,mos,5629,0.04211103319023925,1.0495643479986247,0.046447728090549374,0.4211103319023925,0.03347746206306094,0.05501998147559162,1.1049288085244553
t_minus_1_2359_hkt,E1_normal_emos,emos,5629,0.04261953031473948,1.1029665276786513,0.04693521072492665,0.4261953031473948,0.0510934547666481,0.14440761726705897,0.8394832615274158
t_minus_1_2359_hkt,C1_multinomial_ridge,direct_classifier,5629,0.04275485374895089,1.057799771109628,0.04682854629333803,0.4275485374895089,0.011283462137977346,0.06983169126107236,1.0802400092000697
t_minus_1_2359_hkt,C2_ordinal_cdf_logistic,direct_classifier,5629,0.04311861543379407,1.0676946015746431,0.04695172534241085,0.43118615433794066,0.01973948107311642,0.1182643219845011,1.1094398606558202
t_minus_1_2359_hkt,G1_gamlss_tree_location_scale,gamlss_tree,5629,0.043164222008594245,1.171567863110112,0.04769541894937179,0.43164222008594255,0.07741928993234692,0.16500458892408293,0.7625168614937813
t_minus_1_2359_hkt,E3_two_piece_normal_emos,emos,5629,0.044055826260047344,1.282156341995521,0.04887237361234647,0.44055826260047337,0.09602620377624299,0.4455308957820697,0.7001997104933882
t_minus_1_2359_hkt,Q2_threshold_cdf_gb,threshold_cdf,5629,0.047079871659120726,1.1639581779403658,0.04721003426750227,0.47079871659120737,0.03961258976765865,0.10029404581999846,1.3669150476110015
t_minus_1_2359_hkt,Q1_quantile_cdf_gb,quantile_cdf,5629,0.06764234759462906,1.315096825768863,0.05085871878535931,0.6764234759462908,0.12307869641717231,0.21721966106682275,1.6549806239621352
t_minus_1_2359_hkt,B6_month_climatology_diagnostic,diagnostic,5629,0.08577500822726435,1.5520884865160212,0.057957614645857546,0.8577500822726436,0.058590365142376304,0.17944165676752594,1.369831339140882
t_minus_1_2359_hkt,B0_climatology,baseline,5629,0.19348605530255508,2.118748612139479,0.07507319504875153,1.9348605530255503,0.031669537697882805,0.045170717799518534,2.0086516421699367
